DATE,Phenol     (ug/L),Oil and Grease (L),Oil and Grease (mg/L),TOC     (mg/L),DOC  (mg/L),Benzene ( ug/L),Toluene   (ug/L),Ethylbenzene   (ug/L),o- Xylene   (ug/L),m-Xylene   (ug/L),p-Xylene   (ug/L),2-MIB   (ug/L),Geosmin   (ug/L),Chloroform,"dibro chloromomehane ",Bromodichloromethane,Bromoform,Endrin,,,,,,Alpha Hexachlorocyclohexane,Beta Hexachlorocyclohexane,Delta Hexachlorocyclohexane,,,Alpha Endosulphan,Beta Endosulphan,,,Heptachlor epoxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comments
,,,,,,,,,,,,,,,,,,,Dieldrin,Aldrin,"p,p'-DDT","p,p'-DDE","p,p'-DDD"," Hexachlorocyclohexane",Hexachlorocyclohexane,Hexachlorocyclohexane,Lindane,Trifluralin,Endosulphan," Endosulphan",Hexachlorobenzene,Heptachlor," epoxide",Pendimethalin,Cis-chlordane,Trans-chlordane,Methoxychlor,Fluoranthene,Benzo(b)fluoranthene,Benzo(k)fluoranthene,Benz(a)pyrene,Benzo(ghi)perylene,"Indeno(1,2,3-cd)pyrene",Acenaphthylene,Anthracene,Benz(a)anthracene,Chrysene,Dibenz(ah)anthracene,Fluorene,Naphthalene,Phenanthrene,Pyrene,Alachlor,Propachlor,Simazine,Atrazine,Propazine,Cyanazine,Desethylatrazine,Metribuzin,
PTS SCHEME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-18,,-0.37,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2018    544,,,,,,-4.25,-3.63,-3.57,-2.42,,,,,-3.11,-2.75,-1.82,2.51,-1.17,-0.13,4.33,-1.15,-0.23,4.22,-0.64,-0.92,-0.24,-0.90,-0.51,-0.65,-1.34,0.35,-2.27,-1.60,-2.08,,,,0.15,-1.09,-2.29,,-1.03,-1.97,1.85,0.08,-1.39,-0.69,7.38,1.55,6.06,2.09,-0.65,,,-1.03,-1.30,-1.21,-1.36,,,
6/1/2018    546,,0.05,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2018    547,-5.20,,,,,,,,,,,0.38,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2018  552,,,,,,0.45,0.11,-1.63,-1.76,,,,,-1.6,-1.96,-1.78,-1.97,2.7,3.63,1.33,0.61,2.36,,2.18,3.69,0.16,2.15,1.43,5.94,2.47,1.2,4.29,4.25,1.77,,,,4.57,2.54,5.16,11.21,5.24,3.82,2.71,5.58,6.95,3.32,7.14,5.85,9.33,4.35,5.97,,,0.95,4.24,2.98,1.99,,,
10/1/2018 554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2018 555/556,-3.42,-0.05,-0.55,,,,,,,,,-1.92,-1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2019 560,,,,,,-2.21,-2.16,-2.78,1.50,,,,,0.97,-1.85,0.41,-1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2019 562/3/4,-1.77,-0.02,-1.14,,,1.98,0.15,-1.31,-0.90,-2.24,-0.06,,,-1.21,-1.48,-0.59,-1.07,-2.43,-1.03,2.15,-1.66,-0.72,-0.48,-0.92,-0.95,-2.19,0.04,-0.64,-1.25,-1.00,-1.49,0.94,,-1.40,-4.40,1.38,122.32,-0.22,-0.28,4.05,11.88,1.09,1.28,2.02,13.74,2.87,3.72,2.05,0.69,10.24,0.97,1.47,-2.30,-0.80,-1.69,-1.90,-1.50,-1.34,,-2.88,
Apr-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2019 566/7,-1.31,-0.08,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019 568,,,,,,,,,,,,-4.05,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2019 572,,,,,,1.48,1.39,2.51,1.81,20.4,-4.51,,,-1.29,-2.1,-1.21,-1.05,3.92,6.5,3.73,-0.61,0.62,1.01,1.03,8.11,1.11,-2.43,1.24,1.3,3.41,1.21,3.83,5.34,0.38,4.95,-1.3,1.86,3.37,6.21,0.13,12.07,1.94,2.57,0.54,8.68,3.59,2.46,3.78,1.82,5.29,1.71,1.14,1.17,2.24,1.35,4.02,2.6,2.28,3.84,2.76,
11/1/2019 574/5/6,4.79,-0.05,-0.31,,,,,,,,,-2.17,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
